Arizona Average Temperature,,
Units: Degrees Fahrenheit,,
Base Period: 2017-2017,,
Missing: -99,,
Date,Value,Anomaly
Jan-17,42.3,0
Feb-17,49.4,0
Mar-17,56.6,0
Apr-17,59.9,0
May-17,66.1,0
Jun-17,79.8,0
Jul-17,81.5,0
Aug-17,79.1,0
Sep-17,72.4,0
Oct-17,65.1,0
Nov-17,57.6,0
Dec-17,46.6,0
